method,target,target_type,metric,value,n_masked,repeat,mask_seed,mechanism,mask_rate
sa_vae,diagnosis,categorical,accuracy,1.0,6,0,20260724,mar,0.2
sa_vae,diagnosis,categorical,macro_precision,1.0,6,0,20260724,mar,0.2
sa_vae,diagnosis,categorical,macro_recall,1.0,6,0,20260724,mar,0.2
sa_vae,diagnosis,categorical,macro_f1,1.0,6,0,20260724,mar,0.2
sa_vae,followup_status,categorical,accuracy,0.8,5,0,20260724,mar,0.2
sa_vae,followup_status,categorical,macro_precision,0.5,5,0,20260724,mar,0.2
sa_vae,followup_status,categorical,macro_recall,0.6666666666666666,5,0,20260724,mar,0.2
sa_vae,followup_status,categorical,macro_f1,0.5555555555555555,5,0,20260724,mar,0.2
plain_vae_structured,iop,continuous,mae,0.9750825444481133,4,0,20260724,mar,0.2
plain_vae_structured,iop,continuous,rmse,1.2519421666571127,4,0,20260724,mar,0.2
plain_vae_structured,visual_acuity,continuous,mae,0.10877789727359832,4,0,20260724,mar,0.2
plain_vae_structured,visual_acuity,continuous,rmse,0.13015868065190486,4,0,20260724,mar,0.2
plain_vae_structured,diagnosis,categorical,accuracy,1.0,6,0,20260724,mar,0.2
plain_vae_structured,diagnosis,categorical,macro_precision,1.0,6,0,20260724,mar,0.2
plain_vae_structured,diagnosis,categorical,macro_recall,1.0,6,0,20260724,mar,0.2
plain_vae_structured,diagnosis,categorical,macro_f1,1.0,6,0,20260724,mar,0.2
plain_vae_structured,followup_status,categorical,accuracy,0.8,5,0,20260724,mar,0.2
plain_vae_structured,followup_status,categorical,macro_precision,0.5,5,0,20260724,mar,0.2
plain_vae_structured,followup_status,categorical,macro_recall,0.6666666666666666,5,0,20260724,mar,0.2
plain_vae_structured,followup_status,categorical,macro_f1,0.5555555555555555,5,0,20260724,mar,0.2
sa_vae_structured,iop,continuous,mae,0.9024066657021272,4,0,20260724,mar,0.2
sa_vae_structured,iop,continuous,rmse,0.979327927730715,4,0,20260724,mar,0.2
sa_vae_structured,visual_acuity,continuous,mae,0.15782896466070834,4,0,20260724,mar,0.2
sa_vae_structured,visual_acuity,continuous,rmse,0.1891024441473302,4,0,20260724,mar,0.2
sa_vae_structured,diagnosis,categorical,accuracy,1.0,6,0,20260724,mar,0.2
sa_vae_structured,diagnosis,categorical,macro_precision,1.0,6,0,20260724,mar,0.2
sa_vae_structured,diagnosis,categorical,macro_recall,1.0,6,0,20260724,mar,0.2
sa_vae_structured,diagnosis,categorical,macro_f1,1.0,6,0,20260724,mar,0.2
sa_vae_structured,followup_status,categorical,accuracy,0.8,5,0,20260724,mar,0.2
sa_vae_structured,followup_status,categorical,macro_precision,0.5,5,0,20260724,mar,0.2
sa_vae_structured,followup_status,categorical,macro_recall,0.6666666666666666,5,0,20260724,mar,0.2
sa_vae_structured,followup_status,categorical,macro_f1,0.5555555555555555,5,0,20260724,mar,0.2
mean_mode,iop,continuous,mae,2.319780169171456,2,1,20260725,mar,0.2
mean_mode,iop,continuous,rmse,2.4167866463058085,2,1,20260725,mar,0.2
mean_mode,visual_acuity,continuous,mae,0.16172186172074204,4,1,20260725,mar,0.2
mean_mode,visual_acuity,continuous,rmse,0.22687789358207672,4,1,20260725,mar,0.2
mean_mode,diagnosis,categorical,accuracy,0.0,7,1,20260725,mar,0.2
mean_mode,diagnosis,categorical,macro_precision,0.0,7,1,20260725,mar,0.2
mean_mode,diagnosis,categorical,macro_recall,0.0,7,1,20260725,mar,0.2
mean_mode,diagnosis,categorical,macro_f1,0.0,7,1,20260725,mar,0.2
mean_mode,followup_status,categorical,accuracy,0.5,4,1,20260725,mar,0.2
mean_mode,followup_status,categorical,macro_precision,0.25,4,1,20260725,mar,0.2
mean_mode,followup_status,categorical,macro_recall,0.5,4,1,20260725,mar,0.2
mean_mode,followup_status,categorical,macro_f1,0.3333333333333333,4,1,20260725,mar,0.2
knn,iop,continuous,mae,0.8799541031013094,2,1,20260725,mar,0.2
knn,iop,continuous,rmse,0.8919434651256031,2,1,20260725,mar,0.2
knn,visual_acuity,continuous,mae,0.05407473098988838,4,1,20260725,mar,0.2
knn,visual_acuity,continuous,rmse,0.06647783152382054,4,1,20260725,mar,0.2
knn,diagnosis,categorical,accuracy,1.0,7,1,20260725,mar,0.2
knn,diagnosis,categorical,macro_precision,1.0,7,1,20260725,mar,0.2
knn,diagnosis,categorical,macro_recall,1.0,7,1,20260725,mar,0.2
knn,diagnosis,categorical,macro_f1,1.0,7,1,20260725,mar,0.2
knn,followup_status,categorical,accuracy,1.0,4,1,20260725,mar,0.2
knn,followup_status,categorical,macro_precision,1.0,4,1,20260725,mar,0.2
knn,followup_status,categorical,macro_recall,1.0,4,1,20260725,mar,0.2
knn,followup_status,categorical,macro_f1,1.0,4,1,20260725,mar,0.2
random_forest,iop,continuous,mae,0.9392286111955785,2,1,20260725,mar,0.2
random_forest,iop,continuous,rmse,0.9448022994837193,2,1,20260725,mar,0.2
random_forest,visual_acuity,continuous,mae,0.10244637613756229,4,1,20260725,mar,0.2
random_forest,visual_acuity,continuous,rmse,0.12924220230464065,4,1,20260725,mar,0.2
random_forest,diagnosis,categorical,accuracy,1.0,7,1,20260725,mar,0.2
random_forest,diagnosis,categorical,macro_precision,1.0,7,1,20260725,mar,0.2
random_forest,diagnosis,categorical,macro_recall,1.0,7,1,20260725,mar,0.2
random_forest,diagnosis,categorical,macro_f1,1.0,7,1,20260725,mar,0.2
random_forest,followup_status,categorical,accuracy,1.0,4,1,20260725,mar,0.2
random_forest,followup_status,categorical,macro_precision,1.0,4,1,20260725,mar,0.2
